0.55	0.93	**The
0.27	0.37	Project
0.68	0.76	Gutenberg
0.63	0.94	Etext
0.51	0.38	of
0.27	0.84	Moby
0.53	0.85	Dick,
0.39	0.65	by
0.27	0.82	Herman
1	0.78	Melville**
0.25	0.07	#3
0.25	0.33	in
0.55	0.91	our
0.74	0.62	series
0.82	0.14	by
0.1	0.28	Herman
0.55	0.25	Melville
0.28	0.59	
0.89	0.87	This
0.16	0.76	Project
0.14	0.74	Gutenberg
0.86	0.53	version
0.92	0.01	of
0.28	0.47	Moby
0	0.25	Dick
0.81	0.3	is
0.72	0.08	based
0.81	0.01	on
0.96	0.31	a
0.8	0.36	combination
0.69	0.53	of
0.09	0.89	the
0.46	0.33	etext
0.32	0.15	from
0.24	0.83	the
0.57	0.71	ERIS
0.21	0.72	project
0.64	0.4	at
0.92	0.15	Virginia
0.87	0.72	Tech
0.67	0.22	and
0.01	0.23	another
0.91	0.98	from
0.51	0.2	Project
0.8	0.47	Gutenberg's
0.1	0.42	archives,
0.97	0.59	as
0.32	0.85	compared
0.24	0.27	to
0.28	0.32	a
0.74	0.16	public-domain
0.69	0.59	hard
0.01	0.43	copy.
0.99	0.13	
0.82	0.08	Copyright
0.8	0.29	laws
0.55	0.54	are
0.67	0.12	changing
0.23	0.69	all
0.39	0.82	over
0.21	0.51	the
0.72	0.45	world,
0.32	0.59	be
0.01	0.49	sure
0.91	0.55	to
0.8	0.85	check
0.74	0.31	the
0.27	0.43	copyright
0.83	0.09	laws
0.98	0.72	for
0.9	0.68	your
0.09	0.89	country
0.56	0.15	before
0.5	0.39	posting
0.27	0.89	these
0.67	0.11	files!!
0.9	0.9	
0.81	0.9	Please
0.42	0.07	take
0.16	0.61	a
0.16	0.83	look
0.63	0.09	at
0.31	0.95	the
0.58	0.16	important
0.51	0.53	information
0.9	0.76	in
0.89	0.77	this
0.63	0.58	header.
0.71	0.53	We
0.97	0.78	encourage
0.15	0.43	you
0.61	0.49	to
0.42	0.39	keep
0.12	0.74	this
0.85	0.25	file
0.91	0.7	on
0.38	0.86	your
0.22	0.5	own
0.58	0.4	disk,
0.74	0.05	keeping
0.5	0.44	an
0.45	0.04	electronic
0.12	0.02	path
0.31	0.55	open
0.82	0.01	for
0.83	0.02	the
0.36	0.81	next
0.77	0.24	readers.
0.32	0.66	
0.21	0.23	Do
0.06	0.34	not
